candidate_ref,name,email,phone,current_company,title
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2686.html#22657,Richard Joseph,xhill@example.org,+1-457-577-5478x12914,Gross-Sims,Senior .NET Developer (Consultant)
C:\Workspace\java\scrape_indeed\sys_admin_part_1\247.html#24053,Stephanie Atkinson,hessbeth@example.net,808.548.8725,Pioneer,Systems Administrator
C:\Workspace\java\scrape_indeed\fed_part_1\166.html#3831,Jennifer Shaw,,+1-928-527-2299x27503,Baker and Sons,Designer - Contract
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2729.html#22705,Daniel Velez,paul70@example.org,+1-351-684-4989x2665,Kaufman-Walker,Software Engineer
C:\Workspace\java\scrape_indeed\web_dev_part_1\3032.html#30272,Robert Reed,aeaton@example.net,(472)431-8432,Guzman-Montoya,Assembler
C:\Workspace\java\scrape_indeed\net_admin_part_1\971.html#17746,Jennifer Rivera,olsontimothy@example.org,001-426-403-0299,Robinson PLC,Network & System Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1167.html#25075,Sharon Jackson DVM,laurahoover@example.org,+1-484-325-7991x366,Southern,IT SYSTEMS ANALYST
C:\Workspace\java\scrape_indeed\sys_admin_part_2\181.html#25789,Jessica Fisher,,001-865-699-1624x73149,Smith Ltd,Electronic Technician
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1457.html#21292,Laura Wilson,,(851)526-9448x69594,Arnold-Grant,Sr. Java/J2EE Application Developer (Full Stack)
C:\Workspace\java\scrape_indeed\it_sa_part_1\2764.html#11245,Justin Webb,,237-421-3865,Frank,Sr. ERP Project Manager - Brought
C:\Workspace\java\scrape_indeed\fed_part_1\1527.html#3684,Charles Frost,qdavis@example.org,(919)906-6984x902,COMCAST,Sr. iOS Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\1384.html#9712,Kelly Lee,christinacraig@example.com,502.214.6566,"Padilla, Calhoun and Dunn",IT Network Analyst
C:\Workspace\java\scrape_indeed\java_dev_part_0\620.html#14361,Kristin Aguilar,sylvia43@example.net,376.390.4268,"Murray, Matthews and Johnson",Java Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\1188.html#14991,Cheryl Mclaughlin,,933.295.2111,"Rubio, Charles and Watson",Lead Tutor/CEO
C:\Workspace\java\scrape_indeed\dba_part_1\1094.html#107,Steven Ibarra,travis84@example.com,792.808.6780,"Parsons, Bryant and Martinez",Warehouse Specialist
C:\Workspace\java\scrape_indeed\sys_admin_part_1\288.html#24098,Emily Smith,,+1-942-884-3479x552,Barnes LLC,Systems Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\2758.html#29966,James Hayes,tiffanyparks@example.org,001-943-486-6322x7026,"D&B,",Front End/ Web/UI Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_1\216.html#24019,Sarah Holmes DDS,jevans@example.net,9617203471,Ward-Castro,Systems Administrator I
C:\Workspace\java\scrape_indeed\it_pm_part_1\491.html#8720,Michael Jacobs,tiffanymitchell@example.com,+1-887-371-6947x22569,Super,Account Executive
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1562.html#25514,Shawn Kelley,wisealexandria@example.org,649-921-6433,"Martinez, Rose and Jackson",PC Tech
C:\Workspace\java\scrape_indeed\fed_part_1\769.html#5935,Julie Pitts,,001-997-596-8845,Mitchell-Nichols,Java Full-Stack Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2796.html#16777,Katherine Campos,albert64@example.net,508.453.6866,"JTJ Technologies,",Consultant
C:\Workspace\java\scrape_indeed\fed_part_1\1375.html#3515,Maria Clayton,josehenderson@example.org,994.648.4631x22417,"Dean, Lopez and Smith",FRONT- END WEB DEVELOPER
C:\Workspace\java\scrape_indeed\web_dev_part_1\2593.html#29783,Joseph Lopez,campbelldavid@example.com,001-903-212-0735x6475,IBM,Lead Web Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\982.html#20764,Ryan Lynn,adamsphilip@example.net,923.346.0136x7303,"Wade, Clark and Price",SR. Python Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\153.html#9874,Natasha Dunn,kingdanielle@example.org,(803)513-6502x491,Oldcastle,Sr. IT Security Compliance Analyst
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1397.html#21225,Nicole Trujillo,bquinn@example.net,(452)740-7784x8739,Oconnor-Hill,Teradata Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\497.html#20225,Suzanne Spencer,schmidtshannon@example.com,+1-757-508-6209,TELLIGEN,JR. DATA ANALYST
C:\Workspace\java\scrape_indeed\it_pm_part_1\1369.html#6602,Andrea Conley,gregoryjohnson@example.org,531.309.6789x9405,Conrad and Sons,Project Management
C:\Workspace\java\scrape_indeed\java_dev_part_0\1022.html#12354,Tanya Collier,dowen@example.com,+1-665-309-4801,VERIZON,Senior Java developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1582.html#25536,Kristin Reese,,(786)785-2897,"Frey, Nguyen and Watson",VMware Systems Engineer
C:\Workspace\java\scrape_indeed\fed_part_1\3047.html#5373,Jessica Swanson,annalewis@example.net,001-645-277-6004x9082,Joyce-Lewis,Front End Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1042.html#17826,Desiree Spencer,clintonstevens@example.org,(845)593-3441,VF,Data Scientist
C:\Workspace\java\scrape_indeed\sys_admin_part_2\2170.html#26190,Misty Mcguire,tracynolan@example.net,001-719-740-9610,"Wolfe, Hernandez and Nunez",Passengers Services Assistant
C:\Workspace\java\scrape_indeed\net_admin_part_1\774.html#17527,Tricia Mullins DDS,walkerkeith@example.com,(625)317-9086,DHL,Network Security Engineer
C:\Workspace\java\scrape_indeed\dba_part_1\1014.html#19,Jeffrey Wolfe,timothygonzalez@example.com,+1-393-389-8331x4659,"Gutierrez, Diaz and Lee",SQL Developer / DBA
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2905.html#19895,William Jensen,chanson@example.org,435.621.1039,Cooper Inc,Python Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\2290.html#10719,John Rivera,jamesmills@example.com,+1-679-420-6980,Campbell Ltd,Information Specialist
C:\Workspace\java\scrape_indeed\net_admin_part_1\2225.html#16144,Amy Pena,jonesdonna@example.net,+1-351-404-6368x15798,Mason Group,Network Engineer
C:\Workspace\java\scrape_indeed\dba_part_1\1580.html#647,Felicia Long,andrewsutton@example.com,+1-743-884-0460x8432,"Taylor, Blair and Meyer",Senior SQL SERVER/ORACLE DBA/ETL Engineer
C:\Workspace\java\scrape_indeed\fed_part_1\1536.html#3694,Shelley Parks,jallen@example.com,495-878-2329x8324,Douglas PLC,CRO Engineer
C:\Workspace\java\scrape_indeed\it_sa_part_1\7.html#11994,Emily Grant,whitemary@example.org,001-205-666-4742x3122,AllCovered,IT Application Security Analyst
C:\Workspace\java\scrape_indeed\web_dev_part_1\2847.html#30065,Lisa Carlson,gracehoward@example.net,001-572-289-7526x77223,LONGWOOD,Senior Web Developer
C:\Workspace\java\scrape_indeed\web_dev_part_1\1388.html#28444,Wayne Schaefer,qwalker@example.org,001-831-727-9757x36609,Carr-Newton,Web Designer/ Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\710.html#27244,Kelly Liu,meyershannon@example.org,588.660.8680,Sanders-Torres,Systems Administrator
C:\Workspace\java\scrape_indeed\it_sa_part_1\18.html#10173,Julia Henderson,vaughnrebecca@example.com,+1-271-481-2982x6657,Time,IT Security Analyst I
C:\Workspace\java\scrape_indeed\it_pm_part_1\257.html#7936,Steven Huang,udavis@example.net,+1-821-811-7518x6892,Tate LLC,"Founder, CEO, Project Manager"
C:\Workspace\java\scrape_indeed\dba_part_1\2720.html#1914,Mary Hernandez,haroldjoseph@example.com,947-942-1230x9407,"Aguirre, Franklin and Snyder","Sr. IT Manager, Enterprise Release Management Organization"
C:\Workspace\java\scrape_indeed\it_pm_part_1\2610.html#7982,Matthew Chavez,mmiller@example.org,284.798.3022,Thomas Inc,"Manager, Project Management, ECIO Strategy and Operations"
C:\Workspace\java\scrape_indeed\web_dev_part_1\2825.html#30041,Sara Evans,williamsrobert@example.org,(749)299-8279,Mack LLC,Conversion Rate Optimization Specialist
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\192.html#18800,Sarah Brown,staylor@example.com,686-883-3901x98179,"Abbott, Green and Andrews",Software Engineer
C:\Workspace\java\scrape_indeed\dba_part_1\761.html#2833,Gregory Shaffer,alexharris@example.com,214-448-8501x556,Riley,Oracle Database Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_1\579.html#24421,Roy Nielsen,zhendricks@example.org,+1-727-227-8576x0849,Ray LLC,Systems Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\2147.html#16057,Stacy Gomez,juanjohnson@example.com,+1-882-399-6291x4504,Wiley-Watson,Information Technology Business Consultant
C:\Workspace\java\scrape_indeed\dba_part_1\3058.html#2289,Teresa Rhodes,jamiejohnson@example.com,001-681-204-0915x701,SIBS,Database Administrator
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1518.html#25465,Emily Mcclain,james44@example.net,771-742-2410x98813,Animal,VOLUNTEER
C:\Workspace\java\scrape_indeed\net_admin_part_1\843.html#17604,Steven Williams,bbrown@example.com,(399)979-5453,"Anderson, Hess and Gillespie",IT CONSULTANT - Cloud Hosting
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1694.html#25660,Jesus Cohen,oruiz@example.org,+1-345-762-5577x017,Murray-Jackson,Data Centre Engr
C:\Workspace\java\scrape_indeed\fed_part_1\1992.html#4200,Robert Robles,angela14@example.net,769.563.9382x761,"Garza, Mueller and Graham",Freelance Web Developer
C:\Workspace\java\scrape_indeed\fed_part_1\207.html#4287,Kimberly Young,stevensonjennifer@example.com,699-875-8172,George Ltd,Front End Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2067.html#21970,Patricia Gray,dnewman@example.org,829.902.2784,Hospital,Senior Software Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\1830.html#15705,Michael Stewart,samantha65@example.org,001-209-286-2405,"Therapy Support,",IT Manager
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1355.html#18173,Samantha Howard,michelle36@example.net,001-465-966-6683,WPS,Python Developer
C:\Workspace\java\scrape_indeed\fed_part_1\369.html#5491,Justin Bridges,mary24@example.net,(320)410-2762,"Shaffer, Dalton and English",Front End Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\540.html#8775,Tara Hanson,jhicks@example.com,(753)226-9097x3846,Sikich,IT Solutions Project Manager
C:\Workspace\java\scrape_indeed\net_admin_part_1\692.html#17436,Laura Bush,carpentersuzanne@example.org,(584)978-1891,"DNB Wireless,",Network Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\2651.html#29848,Tyler Yates,gary94@example.net,001-240-679-2904,Miller-Wagner,SOFTWARE DEVELOPER REVATURE
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\426.html#20147,Diana Anderson,joshua40@example.net,592-992-7524,KLEIN,Senior Web Developer and CRM Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1750.html#7026,Eric Reese,noahthornton@example.com,728-860-4765x801,Security,Project Manager and Business System Consultant
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\104.html#17823,Marissa Nelson,joseph14@example.net,001-767-239-3852,"Smith, Jones and Jenkins",Python Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1332.html#25259,Melissa Bell,johnathan00@example.net,409-839-1119,"Gallagher, Wong and Pratt",INFORMATION ASSURANCE ANALYST
C:\Workspace\java\scrape_indeed\sys_admin_part_1\52.html#24356,Brian Lopez,steven17@example.com,001-465-942-1406x65044,Vasquez and Sons,Systems Administrator
C:\Workspace\java\scrape_indeed\soft_dav_part_1\3019.html#23028,Cassandra Vasquez,amberreynolds@example.net,+1-417-241-0119x4707,Guangzhou,Software Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1435.html#6676,Mary Adams,rebecca90@example.net,001-777-766-1830x671,"Turner, Brown and Shea",Adjunct Professor
C:\Workspace\java\scrape_indeed\soft_dav_part_1\936.html#23797,Holly Castaneda,christopher74@example.net,728.906.3461,Mcclure Group,Substitute Teacher
C:\Workspace\java\scrape_indeed\it_sa_part_1\1923.html#10311,Cynthia Price PhD,victor70@example.org,205-406-1387x82931,Valdez-Ruiz,Research Assistant
C:\Workspace\java\scrape_indeed\java_dev_part_0\1768.html#13181,Amber Haynes,alexischen@example.com,579-329-1117,PNC,Java Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2426.html#22369,Jessica Cain,rnguyen@example.net,+1-325-630-9251,Todd and Sons,Software Engineer
C:\Workspace\java\scrape_indeed\java_dev_part_0\721.html#14473,David Thompson,carlsonjennifer@example.net,345-760-8331,"Romero, Marshall and Sims",Java Backend Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\392.html#17103,David Wallace,robert53@example.org,431-536-3631x79706,"Gibson, Hughes and Taylor",Network Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\1121.html#14918,Lynn Cantrell,,5426177625,Smith-Patterson,Optical Operations Engineer
C:\Workspace\java\scrape_indeed\fed_part_1\1852.html#4045,Danielle Hamilton,patriciavargas@example.org,001-806-900-7806,Lucent,Sr. Front End Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2819.html#8213,Melissa Garcia,jallen@example.org,001-963-225-4310x742,APPLE,Senior Program Manager
C:\Workspace\java\scrape_indeed\it_pm_part_1\2130.html#7449,Julie Taylor,xlopez@example.net,501.365.8046x498,"Gilmore, Fitzgerald and Brown",IT Operations Manager
C:\Workspace\java\scrape_indeed\dba_part_1\2904.html#2118,Andrew Richardson,castrokim@example.org,238-317-9335x54864,Our,Family Advocate
C:\Workspace\java\scrape_indeed\it_sa_part_1\2702.html#11177,Barbara Mckinney,shannon51@example.org,911.462.4112x412,Top,Information Technology Security Analyst
C:\Workspace\java\scrape_indeed\dba_part_1\1626.html#698,Kelly Burton,robert82@example.com,(767)704-3103x856,Watkins-Terry,Tax Preparer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1485.html#18317,Summer Bauer,johnwilliams@example.com,001-727-745-2380,Neopost,Python Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2292.html#7628,Jerry Cantrell,david06@example.com,001-927-752-0885x47492,"Rodriguez, Mendoza and Williams",Cybersecurity Operations Manager/ Project Manager
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2584.html#19538,Audrey Johnson,seandavis@example.org,+1-839-583-4301x871,Stewart-Jacobs,ServiceNow Administrator/ BA
C:\Workspace\java\scrape_indeed\it_pm_part_1\20.html#7303,Susan Ward,jenniferpatterson@example.com,(904)655-4781x376,Shaffer Group,Project Manager/Software Developer Intern
C:\Workspace\java\scrape_indeed\dba_part_1\1211.html#238,Jennifer Houston,thomaskevin@example.net,519-461-0646x28792,Nisum,Lead IT Security Compliance Analyst
C:\Workspace\java\scrape_indeed\dba_part_1\324.html#2348,Donna Henry,mary47@example.net,001-973-500-2447x1462,Wilson LLC,Sr. Database Administrator
C:\Workspace\java\scrape_indeed\soft_dav_part_1\783.html#23627,Wesley George MD,qcunningham@example.net,+1-471-758-9042x90257,Brown LLC,Technical Consultant
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1159.html#20961,Eddie Fowler,palmerkatie@example.org,001-419-228-5544x51895,Holmes LLC,Software Engineer/Web Developer
C:\Workspace\java\scrape_indeed\dba_part_1\275.html#1946,Jennifer Mccall,curtismoore@example.org,389.388.8167,MidAmerican,Oracle Database Administrator II
C:\Workspace\java\scrape_indeed\it_pm_part_1\2257.html#7589,Tammy Mendoza,hannah27@example.net,352.840.1322x34232,Merck &,Senior IT Project Manager
C:\Workspace\java\scrape_indeed\dba_part_1\3002.html#2228,Rachel Jones,ctodd@example.org,308-690-7140,"Smith, Davis and Martinez",Database Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\888.html#31029,Laurie Gonzalez,anthony24@example.net,(552)589-3891x190,Amalgamated,Web Developer
C:\Workspace\java\scrape_indeed\dba_part_1\1934.html#1040,Carolyn Webster,beltrancorey@example.org,875.392.7125x66383,Bethel,Senior Oracle Database Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\2241.html#29393,Emily Owens,tylerward@example.com,+1-601-957-1647,"Vasquez, Garcia and Kim",Web Developer
C:\Workspace\java\scrape_indeed\it_sa_part_1\2477.html#10926,Angela Thomas,gneal@example.net,(515)835-3961,"Porter, Hubbard and Miranda",Program Manager
C:\Workspace\java\scrape_indeed\dba_part_1\32.html#2343,Nicole Owen,qkelly@example.net,(278)342-7114x7732,"Brown, Jones and Gregory",Shadowed Database Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\2989.html#16991,Janet Shelton,kevinhanson@example.org,+1-287-273-4778x48588,Quality,Network Administrator
C:\Workspace\java\scrape_indeed\it_pm_part_1\2526.html#7888,Samuel Ramos,johnsonangela@example.com,001-927-962-4671x978,"Dickerson, Hunter and Myers",Global IT Program Manager
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2346.html#22280,Matthew Watkins,meltondanny@example.org,6852076986,"SiriusXM, incorporated",Sr. Software Engineer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2130.html#16039,Leah Odom,uhudson@example.net,671-735-7852,Harris-Reid,Service Advisor
C:\Workspace\java\scrape_indeed\it_pm_part_1\1823.html#7107,Angela Jefferson,karlwilliams@example.net,(839)519-1954x1987,Flynn-Pearson,Field Tech
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1038.html#17821,Robert Reynolds,,878.220.8297x37489,Premier,Sr Python Developer
C:\Workspace\java\scrape_indeed\fed_part_1\2185.html#4415,Helen Hernandez,juliecannon@example.com,(451)536-4424x93631,Sanchez LLC,Co-Founder
C:\Workspace\java\scrape_indeed\sys_admin_part_1\324.html#24139,Justin Graham,harrisjoseph@example.org,348-820-7001x594,Young Inc,Systems Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\296.html#30190,Emily Collier,vshaffer@example.org,(732)312-3476x49078,Gardner-Wells,Web Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2030.html#18924,Donald Mueller,michaelbaldwin@example.com,7903034864,"Camacho, Mathews and Price",Sr. Django Developer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\2185.html#19095,Jenna Spence,kevin34@example.org,(875)760-4177,"Henderson, Sellers and Garcia",Python Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\1751.html#15617,Dean Jones,jguzman@example.net,370-402-7206x34591,Black Ltd,Sr. IT Support Specialist
C:\Workspace\java\scrape_indeed\it_pm_part_1\2674.html#8052,Sarah Jennings,shannon24@example.org,+1-295-543-1652x66930,Rubio and Sons,Enterprise IT Operations Manager
C:\Workspace\java\scrape_indeed\sys_admin_part_2\239.html#26433,Jody Nunez,walkerjames@example.com,476-226-3934x3626,"Lewis, Reyes and Henderson",E-4/Corporal
C:\Workspace\java\scrape_indeed\net_admin_part_1\1760.html#15627,Angel Hawkins,cookjimmy@example.com,+1-290-404-8964x652,Jackson-Vasquez,Python/Django Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\744.html#27281,Joseph Thomas,edwardstiffany@example.com,956-444-9485x625,Gateway,Linux systems administrator
C:\Workspace\java\scrape_indeed\java_dev_part_0\2005.html#13446,John Wilson,wwilliams@example.net,+1-577-671-2151,JP Morgan Chase &,Full Stack Java Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\1116.html#6322,Christopher Hicks,,7892261371,Maldonado-Becker,"JCPenney Sales Associate, Assistant Manager"
C:\Workspace\java\scrape_indeed\fed_part_1\1017.html#3118,Kevin Bean,eric17@example.net,+1-277-649-0509x75923,RCWilley,UI Developer/Visual Designer
C:\Workspace\java\scrape_indeed\fed_part_1\1095.html#3204,Anthony Jones,tammyglenn@example.org,9328664214,Allianz,Email Campaign Manager
C:\Workspace\java\scrape_indeed\soft_dav_part_1\2043.html#21944,Tammy Mckee,michaeldavis@example.com,437.876.7499x61659,Ooma,Principal Software Engineer
C:\Workspace\java\scrape_indeed\java_dev_part_0\51.html#14238,Anna Palmer,prhodes@example.net,001-427-488-1476x174,The,Software Engineer
C:\Workspace\java\scrape_indeed\it_sa_part_1\442.html#11709,Elizabeth Wright,dphillips@example.net,608-718-6617,Thermo,Security Analyst
C:\Workspace\java\scrape_indeed\java_dev_part_0\289.html#13992,Loretta Baker,jasonmiller@example.net,816-980-0610x277,CDK,Salesforce Developer/Administrator
C:\Workspace\java\scrape_indeed\net_admin_part_1\1582.html#15429,Angelica Carrillo,thomasjohnson@example.org,(677)870-7933,Travel Leaders Group &,Technical Analyst
C:\Workspace\java\scrape_indeed\web_dev_part_1\2377.html#29543,Adam Mccoy,fpetty@example.net,001-998-540-7678,Texas,Sr. ServiceNow Admin / Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_1\495.html#24328,Kelsey Henderson,angela46@example.com,579-957-6024,Kim-Romero,Systems Administrator
C:\Workspace\java\scrape_indeed\soft_dav_part_1\1879.html#21760,Maureen Mccarthy,wlloyd@example.org,399-518-0812,Moore-Carter,Software Developer
C:\Workspace\java\scrape_indeed\soft_dav_part_1\166.html#21517,Jonathan Oconnor,mooremichael@example.org,437-360-3754,Liberty,Software Developer
C:\Workspace\java\scrape_indeed\fed_part_1\1138.html#3252,Mike Perry,edwardmolina@example.com,926.466.7850,Robbins PLC,HTML Email Developer
C:\Workspace\java\scrape_indeed\dba_part_1\2801.html#2004,Raymond Hamilton,qmalone@example.net,(790)784-6684,Garden,Research Analyst
C:\Workspace\java\scrape_indeed\java_dev_part_0\1876.html#13301,Douglas Rose,isabellagriffin@example.org,+1-299-775-6341,PNC,Sr. Java Full Stack Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_1\47.html#24300,Nathan Hobbs,jason88@example.com,752.600.8943x46810,"Romero, Martinez and Sherman",Systems Administrator
C:\Workspace\java\scrape_indeed\it_sa_part_1\2739.html#11217,Joan Armstrong,chaveztonya@example.net,001-498-893-5449,"Mclaughlin, Garcia and Black",SECURITY ENGINEER
C:\Workspace\java\scrape_indeed\sys_admin_part_2\510.html#27022,Charles Simmons,dmiller@example.com,(873)671-5869,Isenberg,Systems Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\2307.html#29466,Mallory Barajas,adennis@example.org,(582)977-2881,Johnson-Moore,Wordpress Development and Maintenance
C:\Workspace\java\scrape_indeed\fed_part_1\146.html#3609,Tammy Wilson,xrodriguez@example.net,408-821-5454x4702,Zuniga LLC,Front End Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2840.html#8237,Cindy Fuentes,jsmith@example.com,806-979-4975,"Bass, Anderson and Taylor",Project Manager - Software Development
C:\Workspace\java\scrape_indeed\it_pm_part_1\1152.html#6362,Pamela Contreras,michellenguyen@example.net,+1-696-363-6580x74120,"Hansen, Lee and Montgomery",Behavior Technician
C:\Workspace\java\scrape_indeed\it_pm_part_1\111.html#6315,Amy Hudson,karenshaw@example.org,382-704-3397,Chapman-Henry,IT Manager/ Project Manager
C:\Workspace\java\scrape_indeed\net_admin_part_1\951.html#17724,Gina White,heathlogan@example.com,311-482-4224,Farley-Gregory,Cyber Security Analyst
C:\Workspace\java\scrape_indeed\net_admin_part_1\1037.html#14824,Tyrone White,,(854)361-0339x93788,Brown-Marshall,Infrastructure/Systems Administrator
C:\Workspace\java\scrape_indeed\fed_part_1\2417.html#4673,John Russell,robinsmith@example.net,001-313-582-4967,Brooks and Sons,REMOTE FRONT END WEB DEVELOPER
C:\Workspace\java\scrape_indeed\java_dev_part_0\2448.html#13937,Kimberly Henderson,,620-207-4946x5398,Stevenson PLC,Java Programmer
C:\Workspace\java\scrape_indeed\fed_part_1\910.html#6093,Brandon Hale,jessicalutz@example.com,798.755.4743,Boston,Front End Web Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\939.html#9217,Tyler Murphy,,3022687681,Caravan,ACO Integration Analyst / IT Project Manager
C:\Workspace\java\scrape_indeed\net_admin_part_1\1451.html#15284,Rose Wallace,gomezlisa@example.net,(662)701-7537x030,Davis PLC,NETWORK ADMINISTRATOR
C:\Workspace\java\scrape_indeed\it_pm_part_1\2875.html#8275,Rhonda Walker,ccoffey@example.com,593.403.6149x8728,Walgreens,IT Associate Manager
C:\Workspace\java\scrape_indeed\web_dev_part_1\2715.html#29919,David Hudson,nicoledaniel@example.com,208.794.8706,HOOKER,Web Developer/ Designer
C:\Workspace\java\scrape_indeed\java_dev_part_0\873.html#14641,Sandra Underwood,sherryparsons@example.net,217.991.1006x512,State of,Java Developer
C:\Workspace\java\scrape_indeed\sys_admin_part_2\761.html#27300,Leslie Reynolds,byrdanita@example.com,(361)796-3990x7676,"Pace, Logan and Gibson",JR Systems Administrator
C:\Workspace\java\scrape_indeed\web_dev_part_1\2296.html#29453,Corey Garcia,watkinsmary@example.net,(584)456-7972,Totalcomp,Graphic Designer / Web Designer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1375.html#18195,John Holt,vgreene@example.net,001-259-946-5217,GE,Python Developer
C:\Workspace\java\scrape_indeed\dba_part_1\2500.html#1670,Heather Hester,jamesthompson@example.com,001-825-383-2302x4102,Apex,IA Analyst
C:\Workspace\java\scrape_indeed\soft_dav_part_1\184.html#21717,Daniel Bryant,,(211)522-3386x55963,"Phillips, Hernandez and Wright",Junior Software Engineer
C:\Workspace\java\scrape_indeed\pyth_dev_part_1\1079.html#17866,Diana Martinez,fclark@example.com,+1-991-928-6857x87255,UBS,Python Developer - Machine Learning
C:\Workspace\java\scrape_indeed\web_dev_part_1\152.html#28591,Kevin Little,clarkpatricia@example.com,663.346.6925,Walton LLC,Web Developer Internship
C:\Workspace\java\scrape_indeed\dba_part_1\1438.html#489,Gregory Silva,vhunt@example.com,576.665.7546x027,"Multimedia Genius,",Linux System Administrator
C:\Workspace\java\scrape_indeed\dba_part_1\988.html#3084,Heather Miller,hartmansara@example.org,615-608-3535,"Ochoa, Sutton and Hill",Senior Business Analyst
C:\Workspace\java\scrape_indeed\sys_admin_part_2\1267.html#25186,Yolanda Murillo,,(969)907-8263x3373,Conner-Edwards,Systems Administrator | Business Systems Analyst I
C:\Workspace\java\scrape_indeed\web_dev_part_1\1910.html#29025,Randy Wolfe,samuelfarrell@example.org,(829)624-0755x366,Matthews-Bradley,PHP Developer
C:\Workspace\java\scrape_indeed\it_pm_part_1\2479.html#7835,Charles Rowland,ashley99@example.net,(663)361-8637x1597,Garcia PLC,Systems Engineer/ IT Project Manager
C:\Workspace\java\scrape_indeed\fed_part_1\403.html#5530,Alyssa Gonzalez,ocampbell@example.com,+1-481-870-5802x56621,Zoomph,Front- End Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\1988.html#13425,Benjamin Friedman,,001-272-499-4938x743,Lucas-Ellison,Senior J2EE Developer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2137.html#16046,Ryan Sparks,zaustin@example.org,(632)696-7629x16032,Tradeweb,Vice President Network Engineering/Senior Engineer
C:\Workspace\java\scrape_indeed\net_admin_part_1\2010.html#15906,Andrea Barber,,651-518-5672,"Williams, Johnson and Fowler",TECHNICAL ANALYST II
C:\Workspace\java\scrape_indeed\it_pm_part_1\1809.html#7091,Jennifer Smith,fletcherderek@example.net,001-477-271-1837x2742,"Garcia, Phillips and Nichols",Senior BI Consultant
C:\Workspace\java\scrape_indeed\web_dev_part_1\2401.html#29571,Billy Gallagher,eric52@example.org,001-208-237-0816x470,Wang-Mcfarland,Web Developer
C:\Workspace\java\scrape_indeed\java_dev_part_0\1828.html#13248,David Davis,ajohnson@example.com,313.712.2068,Northern,Java UI/Front-End Developer
